upi_id,customer_id,bank_name,account_type,date_added,status
elizabeth4408@upi,cust106759,sbi,current,22-02-2022,active
daniel5127@upi,cust104765,hdfc,savings,02-04-2022,active
heidi2675@upi,cust102710,axis,savings,19-12-2023,active
dr.3519@upi,cust107076,axis,credit_card_linked,23-01-2025,active
jeremy9552@upi,cust102202,sbi,current,18-07-2025,active
michael1769@upi,cust108834,hdfc,savings,21-04-2024,active
dennis4906@upi,cust106735,pnb,current,13-06-2021,active
omar6644@upi,cust106890,pnb,current,10-09-2024,active
rachael7253@upi,cust100697,axis,credit_card_linked,11-01-2024,active
ashley3227@upi,cust109510,axis,savings,08-02-2023,active
brooke9375@upi,cust101306,sbi,current,19-11-2023,active
kayla1379@upi,cust109780,icici,credit_card_linked,03-03-2025,active
susan1668@upi,cust106234,hdfc,current,17-01-2025,active
kathleen6696@upi,cust102667,icici,credit_card_linked,30-01-2025,active
laurie7296@upi,cust104084,pnb,credit_card_linked,29-01-2021,active
tyler3680@upi,cust107871,kotak,savings,20-12-2024,active
francisco4261@upi,cust104904,pnb,credit_card_linked,28-11-2023,active
christina3163@upi,cust107719,icici,savings,14-01-2024,active
carla8324@upi,cust100480,icici,savings,01-07-2025,active
holly6443@upi,cust109268,hdfc,current,12-02-2025,active
laura3343@upi,cust107141,sbi,credit_card_linked,06-01-2025,active
nichole5977@upi,cust108526,hdfc,current,20-05-2024,active
howard8214@upi,cust109891,kotak,credit_card_linked,07-12-2022,active
walter5491@upi,cust105686,sbi,credit_card_linked,18-02-2025,active
angela8577@upi,cust108864,icici,current,21-04-2022,active
mrs.8483@upi,cust106621,axis,credit_card_linked,02-02-2024,active
daniel8497@upi,cust102046,axis,savings,29-11-2023,active
margaret5324@upi,cust109685,icici,current,20-04-2025,active
robert2919@upi,cust101252,hdfc,credit_card_linked,28-09-2022,blocked
michael9931@upi,cust109580,kotak,current,24-02-2023,active
karen3250@upi,cust100144,axis,savings,23-04-2025,blocked
jesse7774@upi,cust104949,icici,savings,04-02-2025,active
kathryn6686@upi,cust103099,hdfc,savings,27-10-2024,active
andrew7688@upi,cust100155,hdfc,credit_card_linked,24-12-2023,active
charles8327@upi,cust107704,icici,current,13-02-2025,active
sarah4174@upi,cust101778,sbi,credit_card_linked,06-04-2023,active
terri7990@upi,cust100358,icici,current,14-10-2024,active
richard6307@upi,cust100142,pnb,current,18-01-2024,active
marcus4564@upi,cust109279,hdfc,savings,06-10-2022,active
crystal1462@upi,cust102087,kotak,current,24-05-2022,active
jonathon3300@upi,cust107247,kotak,current,04-06-2023,active
adam4804@upi,cust101281,hdfc,credit_card_linked,16-09-2024,active
melissa8609@upi,cust105310,axis,credit_card_linked,05-04-2023,active
karen5304@upi,cust100144,sbi,current,13-03-2025,active
andrea5124@upi,cust103725,kotak,credit_card_linked,29-07-2025,active
sharon1859@upi,cust105652,pnb,savings,11-02-2025,active
angela4871@upi,cust107334,icici,savings,17-10-2024,active
meghan4963@upi,cust103059,icici,current,26-01-2023,active
sarah4593@upi,cust108482,icici,savings,15-04-2025,active
valerie9489@upi,cust107853,hdfc,current,08-11-2022,active
diane2875@upi,cust104105,axis,credit_card_linked,31-10-2021,active
jonathan6452@upi,cust106320,axis,savings,23-05-2024,active
michelle4180@upi,cust103165,icici,current,12-02-2025,active
tony5102@upi,cust104198,icici,current,19-04-2025,active
teresa7665@upi,cust102382,axis,current,23-05-2024,active
angela4788@upi,cust101208,kotak,credit_card_linked,31-01-2025,active
julie7874@upi,cust106131,kotak,savings,16-08-2022,active
christy8914@upi,cust109248,pnb,savings,08-10-2023,active
lauren2212@upi,cust109265,kotak,savings,25-12-2024,active
kenneth8317@upi,cust105028,axis,current,27-03-2023,active
ethan7081@upi,cust106357,pnb,savings,06-06-2025,active
paul6671@upi,cust100525,kotak,credit_card_linked,18-06-2025,active
